TAX_ID,FLD_ZONE
31150004200000020040000000,AE
31150010400000200010010000,AE
31150004400000010180000000,AE
31150009600000170060000000,AE
31150009400000040050030000,AE
31150009400000200020000000,AE
31150008600000220230000000,AE
31150008600000260050000000,AE
31150008600000220010000000,AE
31150008600000030220000000,AE
31150009400000040050030000,AE
31150009400000040050030000,AE
31150008600000220010000000,AE
31150008600000040310000000,AE
31150008600000030170000000,AE
31150011700000010070000000,AE
31150008300000070030000000,AE
31150009100000020340000000,AE
31150009200000260110000000,AE
31150009200000270480000000,AE
31150009100000020260000000,AE
31150004200000020040000000,AE
31150009200000260110000000,AE
